"Vehicle_ID","Make","Age_Years","Outlook_Score","Mileage_km","Maintenance_Costs","Fuel_Efficiency_kmpl","Accident_History","Usage_Type","Defleet"
"V0453","Freightliner","7","2","362510.42535446","20146.788990826","1.6787469287469","3","Mixed","0"
"V0468","Scania","5","9","363010.84236864","20192.660550459","2.5","7","Highway","1"
"V0489","Mercedes Actros","5","2","363511.25938282","20238.532110092","1.5342751842752","2","Highway","1"
"V0497","MAN","7","1","364011.676397","20284.403669725","2.0046683046683","7","Mixed","1"
"V0435","Scania","6","4","364512.09341118","20330.275229358","1.3096045707928","4","Urban","1"
"V0201","Volvo","10","3","365012.51042535","20376.146788991","2.1291621318177","3","Urban","0"
"V0338","Scania","11","2","365512.92743953","20422.018348624","1.317838936348","1","Mixed","0"
"V0489","Mercedes Actros","5","10","366013.34445371","20467.889908257","1.5727118987717","2","Highway","0"
"V0186","Scania","5","6","366513.76146789","20513.76146789","2.4328308211109","3","Highway","1"
"V0452","MAN","9","3","367014.17848207","20559.633027523","1.6649798476451","8","Urban","1"
"V0489","Mercedes Actros","5","4","367514.59549625","20605.504587156","1.5201665893731","2","Highway","1"
"V0228","Mercedes Actros","7","7","368015.01251043","20651.376146789","1.2836162950098","0","Highway","1"
"V0357","Mercedes Actros","11","5","368515.4295246","20697.247706422","1.9754730871245","5","Mixed","1"
"V0036","Volvo","8","10","369015.84653878","20743.119266055","2.3237555689347","5","Mixed","0"
"V0338","Scania","10","4","369516.26355296","20788.990825688","1.2976998320254","1","Mixed","0"
"V0246","Freightliner","8","8","370016.68056714","20834.862385321","2.2023504485556","3","Highway","0"
"V0497","MAN","7","3","370517.09758132","20880.733944954","2.0330863668076","7","Mixed","0"
"V0147","MAN","5","10","371017.5145955","20926.605504587","1.9743310995574","4","Urban","0"
"V0354","Freightliner","7","3","371517.93160967","20972.47706422","1.9587491442436","5","Highway","0"
"V0203","Volvo","11","7","372018.34862385","21018.348623853","1.6378530410841","3","Urban","1"
"V0324","MAN","9","7","372518.76563803","21064.220183486","2.3917237233936","8","Highway","0"
"V0074","Freightliner","7","3","373019.18265221","21110.091743119","2.4252109695667","3","Urban","0"
"V0064","MAN","7","7","373519.59966639","21155.963302752","2.2745660166114","7","Mixed","1"
"V0453","Freightliner","8","2","374020.01668057","21201.834862385","1.6895457253651","3","Mixed","0"
"V0203","Volvo","9","3","374520.43369475","21247.706422018","1.7259394640818","3","Urban","1"
"V0324","MAN","7","7","375020.85070892","21293.577981651","2.3723368397721","8","Highway","0"
"V0036","Volvo","10","10","375521.2677231","21339.449541284","2.3509335019005","5","Mixed","0"
"V0468","Scania","6","1","376021.68473728","21385.321100917","2.4974022545828","7","Highway","0"
"V0203","Volvo","10","3","376522.10175146","21431.19266055","1.6650075512581","3","Urban","0"
"V0228","Mercedes Actros","8","8","377022.51876564","21477.064220183","1.4343822674261","0","Highway","0"
"V0354","Freightliner","8","6","377522.93577982","21522.935779817","1.7990992668108","5","Highway","0"
"V0051","MAN","7","3","378023.35279399","21568.80733945","2.0434557628082","9","Mixed","0"
"V0468","Scania","5","7","378523.76980817","21614.678899083","2.5","7","Highway","1"
"V0338","Scania","9","2","379024.18682235","21660.550458716","1.3947211235194","1","Mixed","1"
"V0064","MAN","8","9","379524.60383653","21706.422018349","2.2911710009801","7","Mixed","0"
"V0203","Volvo","10","5","380025.02085071","21752.293577982","1.7347025464672","3","Urban","1"
"V0036","Volvo","10","5","380525.43786489","21798.165137615","2.3918731923064","5","Mixed","1"
"V0194","Volvo","9","9","381025.85487907","21844.036697248","2.3375472871007","0","Urban","0"
"V0453","Freightliner","8","1","381526.27189324","21889.908256881","1.5924743357641","3","Mixed","1"
"V0201","Volvo","11","8","382026.68890742","21935.779816514","2.1168697486869","3","Urban","1"
"V0225","Freightliner","9","1","382527.1059216","21981.651376147","2.0993990142553","9","Mixed","0"
"V0036","Volvo","8","1","383027.52293578","22027.52293578","2.3216579342346","5","Mixed","0"
"V0194","Volvo","10","1","383527.93994996","22073.394495413","2.3343104503442","0","Urban","0"
"V0087","Volvo","10","1","384028.35696414","22119.266055046","1.7610918659308","1","Urban","1"
"V0147","MAN","5","4","384528.77397832","22165.137614679","2.096850186253","4","Urban","1"
"V0074","Freightliner","8","7","385029.19099249","22211.009174312","2.4126374076346","3","Urban","0"
"V0225","Freightliner","7","7","385529.60800667","22256.880733945","2.178166051401","9","Mixed","0"
"V0228","Mercedes Actros","7","6","386030.02502085","22302.752293578","1.285201158115","0","Highway","0"
"V0186","Scania","6","2","386530.44203503","22348.623853211","2.4177781766807","3","Highway","1"
"V0452","MAN","8","8","387030.85904921","22394.495412844","1.5317751712504","8","Urban","1"
"V0453","Freightliner","8","9","387531.27606339","22440.366972477","1.6777269954824","3","Mixed","0"
"V0497","MAN","6","10","388031.69307756","22486.23853211","1.9729933180699","7","Mixed","0"
"V0453","Freightliner","6","1","388532.11009174","22532.110091743","1.7116602646483","3","Mixed","0"
"V0338","Scania","9","6","389032.52710592","22577.981651376","1.2407422962677","1","Mixed","0"
"V0421","Volvo","12","1","389532.9441201","22623.853211009","1.4750962852606","0","Urban","0"
"V0246","Freightliner","6","7","390033.36113428","22669.724770642","2.121866441151","3","Highway","0"
"V0228","Mercedes Actros","7","9","390533.77814846","22715.596330275","1.4497372662399","0","Highway","1"
"V0489","Mercedes Actros","6","1","391034.19516264","22761.467889908","1.6245640739925","2","Highway","1"
"V0319","Volvo","6","3","391534.61217681","22807.339449541","1.8894077254805","0","Mixed","0"
"V0087","Volvo","11","3","392035.02919099","22853.211009174","1.760064655056","1","Urban","0"
"V0338","Scania","9","9","392535.44620517","22899.082568807","1.3765433309992","1","Mixed","1"
"V0453","Freightliner","7","8","393035.86321935","22944.95412844","1.7494511268671","3","Mixed","1"
"V0147","MAN","5","4","393536.28023353","22990.825688073","1.9775096742116","4","Urban","0"
"V0147","MAN","6","7","394036.69724771","23036.697247706","2.0003602401915","4","Urban","1"
"V0036","Volvo","8","6","394537.11426188","23082.568807339","2.3743465537796","5","Mixed","1"
"V0201","Volvo","10","10","395037.53127606","23128.440366972","2.0559259454052","3","Urban","1"
"V0270","Mercedes Actros","12","7","395537.94829024","23174.311926606","2.0223125382585","6","Mixed","0"
"V0225","Freightliner","9","10","396038.36530442","23220.183486239","2.1213353382632","9","Mixed","0"
"V0203","Volvo","9","7","396538.7823186","23266.055045872","1.6731998018663","3","Urban","0"
"V0147","MAN","5","10","397039.19933278","23311.926605505","2.1288762119287","4","Urban","1"
"V0452","MAN","9","1","397539.61634696","23357.798165138","1.6404511845645","8","Urban","0"
"V0036","Volvo","9","3","398040.03336113","23403.669724771","2.2837653535252","5","Mixed","1"
"V0051","MAN","6","2","398540.45037531","23449.541284404","2.1454612847513","9","Mixed","0"
"V0357","Mercedes Actros","12","7","399040.86738949","23495.412844037","2.0166186718772","5","Mixed","0"
"V0435","Scania","5","10","399541.28440367","23541.28440367","1.2385271294916","4","Urban","0"
"V0246","Freightliner","7","3","400041.70141785","23587.155963303","2.019993155045","3","Highway","0"
"V0227","Volvo","5","2","400542.11843203","23633.027522936","1.1227626153899","2","Mixed","0"
"V0064","MAN","8","5","401042.53544621","23678.899082569","2.2888155057384","7","Mixed","0"
"V0118","Mercedes Actros","7","2","401542.95246038","23724.770642202","2.0473759812438","9","Urban","0"
"V0324","MAN","8","3","402043.36947456","23770.642201835","2.396610163246","8","Highway","0"
"V0270","Mercedes Actros","12","3","402543.78648874","23816.513761468","1.946253352883","6","Mixed","0"
"V0082","Freightliner","7","10","403044.20350292","23862.385321101","1.2860550714757","9","Highway","1"
"V0338","Scania","10","4","403544.6205171","23908.256880734","1.3290400097535","1","Mixed","0"
"V0497","MAN","6","8","404045.03753128","23954.128440367","2.0105058105502","7","Mixed","0"
"V0421","Volvo","11","6","404545.45454545","24000","1.4746498263444","0","Urban","0"
"V0203","Volvo","9","9","405045.87155963","24045.871559633","1.828197207349","3","Urban","1"
"V0036","Volvo","9","3","405546.28857381","24091.743119266","2.2956489166617","5","Mixed","0"
"V0036","Volvo","9","2","406046.70558799","24137.614678899","2.3510990485361","5","Mixed","0"
"V0036","Volvo","8","6","406547.12260217","24183.486238532","2.4123782483429","5","Mixed","0"
"V0435","Scania","6","8","407047.53961635","24229.357798165","1.1792094879699","4","Urban","0"
"V0270","Mercedes Actros","11","8","407547.95663053","24275.229357798","1.9672847797398","6","Mixed","1"
"V0225","Freightliner","7","9","408048.3736447","24321.100917431","2.1439445875326","9","Mixed","0"
"V0489","Mercedes Actros","6","10","408548.79065888","24366.972477064","1.6236068374542","2","Highway","0"
"V0324","MAN","9","9","409049.20767306","24412.844036697","2.4329343555624","8","Highway","0"
"V0087","Volvo","9","10","409549.62468724","24458.71559633","1.7406922148913","1","Urban","0"
"V0354","Freightliner","8","4","410050.04170142","24504.587155963","1.7812931448005","5","Highway","0"
"V0338","Scania","9","6","410550.4587156","24550.458715596","1.322655675527","1","Mixed","1"
"V0270","Mercedes Actros","12","8","411050.87572977","24596.330275229","2.0024462054578","6","Mixed","0"
"V0489","Mercedes Actros","6","6","411551.29274395","24642.201834862","1.5413081237418","2","Highway","0"
"V0064","MAN","7","3","412051.70975813","24688.073394495","2.3512489529604","7","Mixed","1"
"V0082","Freightliner","8","1","412552.12677231","24733.944954128","1.3650066469225","9","Highway","1"
"V0201","Volvo","12","4","413052.54378649","24779.816513761","2.1272571813765","3","Urban","1"
"V0036","Volvo","9","9","413552.96080067","24825.688073394","2.3048916494416","5","Mixed","1"
"V0357","Mercedes Actros","11","4","414053.37781485","24871.559633028","1.902550230947","5","Mixed","0"
"V0225","Freightliner","8","4","414553.79482902","24917.431192661","2.0771369169182","9","Mixed","1"
"V0087","Volvo","11","10","415054.2118432","24963.302752294","1.6995044341347","1","Urban","1"
"V0082","Freightliner","7","9","415554.62885738","25009.174311927","1.2708344525051","9","Highway","0"
"V0074","Freightliner","6","5","416055.04587156","25055.04587156","2.3678956054236","3","Urban","1"
"V0194","Volvo","8","2","416555.46288574","25100.917431193","2.2644768849629","0","Urban","0"
"V0246","Freightliner","8","5","417055.87989992","25146.788990826","2.067908421996","3","Highway","1"
"V0421","Volvo","10","8","417556.2969141","25192.660550459","1.4619682066625","0","Urban","0"
"V0497","MAN","7","7","418056.71392827","25238.532110092","1.9316117473615","7","Mixed","0"
"V0194","Volvo","9","8","418557.13094245","25284.403669725","2.353813511144","0","Urban","0"
"V0201","Volvo","11","10","419057.54795663","25330.275229358","2.0649701205708","3","Urban","1"
"V0324","MAN","8","6","419557.96497081","25376.146788991","2.3479409700848","8","Highway","0"
"V0082","Freightliner","7","7","420058.38198499","25422.018348624","1.3938156070412","9","Highway","0"
"V0246","Freightliner","7","9","420558.79899917","25467.889908257","2.0233182845075","3","Highway","0"
"V0087","Volvo","9","2","421059.21601334","25513.76146789","1.7404290757124","1","Urban","1"
"V0497","MAN","6","3","421559.63302752","25559.633027523","1.9665912934092","7","Mixed","0"
"V0489","Mercedes Actros","5","1","422060.0500417","25605.504587156","1.4521248680261","2","Highway","1"
"V0421","Volvo","11","5","422560.46705588","25651.376146789","1.3207668916341","0","Urban","0"
"V0147","MAN","5","2","423060.88407006","25697.247706422","2.1349888877153","4","Urban","0"
"V0186","Scania","7","7","423561.30108424","25743.119266055","2.4566050635421","3","Highway","0"
"V0186","Scania","5","9","424061.71809842","25788.990825688","2.4150082403335","3","Highway","0"
"V0319","Volvo","6","6","424562.13511259","25834.862385321","1.7345536485961","0","Mixed","1"
"V0246","Freightliner","7","2","425062.55212677","25880.733944954","2.1545569271544","3","Highway","1"
"V0036","Volvo","8","3","425562.96914095","25926.605504587","2.3288973898478","5","Mixed","0"
"V0082","Freightliner","9","7","426063.38615513","25972.47706422","1.3766424007782","9","Highway","1"
"V0064","MAN","9","2","426563.80316931","26018.348623853","2.2422482941135","7","Mixed","0"
"V0225","Freightliner","7","9","427064.22018349","26064.220183486","2.1516580691659","9","Mixed","0"
"V0201","Volvo","11","6","427564.63719766","26110.091743119","2.0138590083483","3","Urban","0"
"V0087","Volvo","10","4","428065.05421184","26155.963302752","1.716037907279","1","Urban","0"
"V0489","Mercedes Actros","5","7","428565.47122602","26201.834862385","1.506163896739","2","Highway","1"
"V0319","Volvo","6","4","429065.8882402","26247.706422018","1.7527735431732","0","Mixed","0"
"V0324","MAN","8","2","429566.30525438","26293.577981651","2.3881074946433","8","Highway","0"
"V0036","Volvo","9","1","430066.72226856","26339.449541284","2.4126999812773","5","Mixed","0"
"V0051","MAN","5","7","430567.13928274","26385.321100917","2.1487138345665","9","Mixed","0"
"V0452","MAN","10","4","431067.55629691","26431.19266055","1.6604372488226","8","Urban","0"
"V0324","MAN","9","9","431567.97331109","26477.064220183","2.2864448652693","8","Highway","0"
"V0453","Freightliner","6","9","432068.39032527","26522.935779817","1.752191726062","3","Mixed","1"
"V0421","Volvo","11","7","432568.80733945","26568.80733945","1.3559555034364","0","Urban","0"
"V0082","Freightliner","7","8","433069.22435363","26614.678899083","1.366197916391","9","Highway","0"
"V0354","Freightliner","6","6","433569.64136781","26660.550458716","1.9324972817449","5","Highway","1"
"V0082","Freightliner","7","3","434070.05838198","26706.422018349","1.3651116075963","9","Highway","0"
"V0051","MAN","6","10","434570.47539616","26752.293577982","2.0489980568083","9","Mixed","1"
"V0118","Mercedes Actros","8","1","435070.89241034","26798.165137615","2.0214002710857","9","Urban","1"
"V0051","MAN","5","1","435571.30942452","26844.036697248","2.0975050489053","9","Mixed","0"
"V0228","Mercedes Actros","7","3","436071.7264387","26889.908256881","1.4316164385476","0","Highway","1"
"V0186","Scania","6","8","436572.14345288","26935.779816514","2.3844469944917","3","Highway","0"
"V0082","Freightliner","9","10","437072.56046706","26981.651376147","1.3373547939955","9","Highway","0"
"V0270","Mercedes Actros","11","6","437572.97748123","27027.52293578","2.0516260890296","6","Mixed","0"
"V0324","MAN","8","7","438073.39449541","27073.394495413","2.4540000118639","8","Highway","0"
"V0453","Freightliner","7","4","438573.81150959","27119.266055046","1.6886166136758","3","Mixed","0"
"V0468","Scania","6","7","439074.22852377","27165.137614679","2.4564979629919","7","Highway","0"
"V0228","Mercedes Actros","8","1","439574.64553795","27211.009174312","1.4174003352802","0","Highway","0"
"V0246","Freightliner","6","2","440075.06255213","27256.880733945","2.1793595967463","3","Highway","1"
"V0468","Scania","6","8","440575.47956631","27302.752293578","2.4781570093435","7","Highway","0"
"V0421","Volvo","11","10","441075.89658048","27348.623853211","1.4400238187294","0","Urban","0"
"V0468","Scania","6","5","441576.31359466","27394.495412844","2.4721810004027","7","Highway","0"
"V0225","Freightliner","9","7","442076.73060884","27440.366972477","2.1842752791907","9","Mixed","1"
"V0082","Freightliner","7","7","442577.14762302","27486.23853211","1.2531555689436","9","Highway","0"
"V0324","MAN","8","3","443077.5646372","27532.110091743","2.3681531539709","8","Highway","1"
"V0357","Mercedes Actros","12","7","443577.98165138","27577.981651376","2.0415498783268","5","Mixed","0"
"V0201","Volvo","11","9","444078.39866555","27623.853211009","2.1253525018429","3","Urban","0"
"V0227","Volvo","5","3","444578.81567973","27669.724770642","1.1797977294905","2","Mixed","0"
"V0118","Mercedes Actros","8","8","445079.23269391","27715.596330275","1.9484065171745","9","Urban","1"
"V0201","Volvo","10","3","445579.64970809","27761.467889908","2.0959510958095","3","Urban","1"
"V0186","Scania","7","10","446080.06672227","27807.339449541","2.3436850553739","3","Highway","1"
"V0497","MAN","6","10","446580.48373645","27853.211009174","1.9549782803662","7","Mixed","1"
"V0357","Mercedes Actros","12","6","447080.90075063","27899.082568807","2.0207699925963","5","Mixed","0"
"V0246","Freightliner","7","5","447581.3177648","27944.95412844","2.1106591279928","3","Highway","0"
"V0246","Freightliner","7","4","448081.73477898","27990.825688073","2.2063860735287","3","Highway","0"
"V0074","Freightliner","7","4","448582.15179316","28036.697247706","2.4561522163175","3","Urban","0"
"V0246","Freightliner","6","5","449082.56880734","28082.568807339","2.1810162122566","3","Highway","1"
"V0194","Volvo","9","1","449582.98582152","28128.440366972","2.3399842294773","0","Urban","0"
"V0468","Scania","5","9","450083.4028357","28174.311926606","2.5","7","Highway","0"
"V0489","Mercedes Actros","5","10","450583.81984987","28220.183486239","1.5808591527239","2","Highway","0"
"V0324","MAN","7","3","451084.23686405","28266.055045872","2.3648729358892","8","Highway","0"
"V0147","MAN","5","8","451584.65387823","28311.926605505","2.0059316272173","4","Urban","0"
"V0270","Mercedes Actros","11","3","452085.07089241","28357.798165138","1.9084842905335","6","Mixed","0"
"V0036","Volvo","9","7","452585.48790659","28403.669724771","2.2612717904084","5","Mixed","0"
"V0186","Scania","6","5","453085.90492077","28449.541284404","2.3341947451435","3","Highway","1"
"V0421","Volvo","12","2","453586.32193495","28495.412844037","1.3733521196787","0","Urban","1"
"V0082","Freightliner","8","8","454086.73894912","28541.28440367","1.4355398581149","9","Highway","1"
"V0357","Mercedes Actros","12","10","454587.1559633","28587.155963303","1.9100548441081","5","Mixed","1"
"V0468","Scania","5","7","455087.57297748","28633.027522936","2.4405628759501","7","Highway","0"
"V0453","Freightliner","8","9","455587.98999166","28678.899082569","1.580135544585","3","Mixed","0"
"V0468","Scania","5","3","456088.40700584","28724.770642202","2.4599806217722","7","Highway","0"
"V0064","MAN","7","6","456588.82402002","28770.642201835","2.3658109590619","7","Mixed","0"
"V0452","MAN","8","2","457089.2410342","28816.513761468","1.571972637475","8","Urban","1"
"V0074","Freightliner","8","6","457589.65804837","28862.385321101","2.327951140629","3","Urban","0"
"V0074","Freightliner","7","10","458090.07506255","28908.256880734","2.5","3","Urban","0"
"V0354","Freightliner","6","2","458590.49207673","28954.128440367","1.9270505584218","5","Highway","0"
"V0228","Mercedes Actros","7","8","459090.90909091","29000","1.30318838058","0","Highway","0"
"V0319","Volvo","6","5","459591.32610509","29045.871559633","1.8171851999685","0","Mixed","0"
"V0194","Volvo","9","4","460091.74311927","29091.743119266","2.2484843464228","0","Urban","0"
"V0338","Scania","10","10","460592.16013344","29137.614678899","1.3475336208707","1","Mixed","0"
"V0147","MAN","5","2","461092.57714762","29183.486238532","2.1052838170206","4","Urban","0"
"V0036","Volvo","10","5","461592.9941618","29229.357798165","2.388169716853","5","Mixed","1"
"V0354","Freightliner","7","8","462093.41117598","29275.229357798","1.7736586279838","5","Highway","1"
"V0203","Volvo","10","3","462593.82819016","29321.100917431","1.8056520474937","3","Urban","1"
"V0118","Mercedes Actros","8","8","463094.24520434","29366.972477064","2.0712769885886","9","Urban","0"
"V0087","Volvo","9","2","463594.66221852","29412.844036697","1.7498906093384","1","Urban","1"
"V0354","Freightliner","8","6","464095.07923269","29458.71559633","1.8907986858652","5","Highway","1"
"V0319","Volvo","5","5","464595.49624687","29504.587155963","1.896132322244","0","Mixed","1"
"V0228","Mercedes Actros","7","8","465095.91326105","29550.458715596","1.4100056734483","0","Highway","0"
"V0338","Scania","11","8","465596.33027523","29596.330275229","1.363978205179","1","Mixed","0"
"V0354","Freightliner","6","1","466096.74728941","29642.201834862","1.863869358294","5","Highway","1"
"V0227","Volvo","6","1","466597.16430359","29688.073394495","1.166724270093","2","Mixed","0"
"V0147","MAN","5","1","467097.58131776","29733.944954128","1.9863765410025","4","Urban","1"
"V0489","Mercedes Actros","6","3","467597.99833194","29779.816513761","1.6067579819166","2","Highway","1"
"V0270","Mercedes Actros","12","6","468098.41534612","29825.688073394","1.881351959705","6","Mixed","0"
"V0435","Scania","6","7","468598.8323603","29871.559633028","1.2198114139675","4","Urban","0"
"V0227","Volvo","6","3","469099.24937448","29917.431192661","1.1041001548739","2","Mixed","0"
"V0201","Volvo","11","9","469599.66638866","29963.302752294","2.1053880187248","3","Urban","0"
"V0228","Mercedes Actros","7","4","470100.08340284","30009.174311927","1.4524166929768","0","Highway","1"
"V0203","Volvo","10","4","470600.50041701","30055.04587156","1.8203497760632","3","Urban","1"
"V0246","Freightliner","6","3","471100.91743119","30100.917431193","2.1878749567361","3","Highway","1"
"V0497","MAN","7","9","471601.33444537","30146.788990826","2.0316286635279","7","Mixed","0"
"V0354","Freightliner","7","6","472101.75145955","30192.660550459","1.8289435715686","5","Highway","0"
"V0064","MAN","9","1","472602.16847373","30238.532110092","2.4403949815591","7","Mixed","1"
"V0051","MAN","6","6","473102.58548791","30284.403669725","2.0499591627457","9","Mixed","1"
"V0087","Volvo","9","2","473603.00250209","30330.275229358","1.8538414587748","1","Urban","1"
"V0227","Volvo","5","9","474103.41951626","30376.146788991","1.1","2","Mixed","0"
"V0489","Mercedes Actros","5","9","474603.83653044","30422.018348624","1.566218287696","2","Highway","1"
"V0051","MAN","6","9","475104.25354462","30467.889908257","2.1508512511299","9","Mixed","0"
"V0246","Freightliner","7","8","475604.6705588","30513.76146789","2.1441058739533","3","Highway","1"
"V0453","Freightliner","7","1","476105.08757298","30559.633027523","1.7286968741767","3","Mixed","0"
"V0036","Volvo","10","8","476605.50458716","30605.504587156","2.3919852513026","5","Mixed","0"
"V0051","MAN","6","9","477105.92160133","30651.376146789","2.0897695280165","9","Mixed","1"
"V0435","Scania","5","8","477606.33861551","30697.247706422","1.1646789673429","4","Urban","0"
"V0201","Volvo","11","5","478106.75562969","30743.119266055","2.0283681100338","3","Urban","1"
"V0228","Mercedes Actros","9","2","478607.17264387","30788.990825688","1.4487425640061","0","Highway","0"
"V0118","Mercedes Actros","7","2","479107.58965805","30834.862385321","1.997826369663","9","Urban","1"
"V0319","Volvo","6","1","479608.00667223","30880.733944954","1.9057178192975","0","Mixed","0"
"V0051","MAN","6","9","480108.42368641","30926.605504587","2.1650609371209","9","Mixed","0"
"V0087","Volvo","11","10","480608.84070058","30972.47706422","1.7150803022518","1","Urban","0"
"V0489","Mercedes Actros","5","1","481109.25771476","31018.348623853","1.4990838034783","2","Highway","0"
"V0036","Volvo","10","10","481609.67472894","31064.220183486","2.3957630105304","5","Mixed","1"
"V0118","Mercedes Actros","6","8","482110.09174312","31110.091743119","2.0506617974493","9","Urban","1"
"V0435","Scania","6","1","482610.5087573","31155.963302752","1.2966997504557","4","Urban","1"
"V0203","Volvo","11","1","483110.92577148","31201.834862385","1.7636879899952","3","Urban","0"
"V0453","Freightliner","8","3","483611.34278565","31247.706422018","1.6102849689929","3","Mixed","0"
"V0225","Freightliner","9","9","484111.75979983","31293.577981651","2.2124754446288","9","Mixed","0"
"V0147","MAN","6","8","484612.17681401","31339.449541284","1.9982568835177","4","Urban","0"
"V0227","Volvo","6","6","485112.59382819","31385.321100917","1.1731371945619","2","Mixed","0"
"V0246","Freightliner","7","8","485613.01084237","31431.19266055","2.0868661815646","3","Highway","1"
"V0186","Scania","6","4","486113.42785655","31477.064220183","2.3589158652564","3","Highway","0"
"V0201","Volvo","11","9","486613.84487073","31522.935779817","2.155431780706","3","Urban","0"
"V0201","Volvo","12","7","487114.2618849","31568.80733945","2.0435116206716","3","Urban","0"
"V0324","MAN","7","3","487614.67889908","31614.678899083","2.277713189745","8","Highway","1"
"V0270","Mercedes Actros","11","9","488115.09591326","31660.550458716","1.9368560472969","6","Mixed","0"
"V0074","Freightliner","8","7","488615.51292744","31706.422018349","2.496625817313","3","Urban","0"
"V0147","MAN","6","7","489115.92994162","31752.293577982","2.0740696570724","4","Urban","0"
"V0087","Volvo","9","7","489616.3469558","31798.165137615","1.841314218732","1","Urban","1"
"V0147","MAN","5","9","490116.76396997","31844.036697248","2.0800598852645","4","Urban","1"
"V0421","Volvo","10","6","490617.18098415","31889.908256881","1.4845488472557","0","Urban","0"
"V0319","Volvo","6","10","491117.59799833","31935.779816514","1.7537807918556","0","Mixed","1"
"V0082","Freightliner","7","4","491618.01501251","31981.651376147","1.3619673767177","9","Highway","0"
"V0453","Freightliner","6","9","492118.43202669","32027.52293578","1.6685399559171","3","Mixed","0"
"V0354","Freightliner","6","2","492618.84904087","32073.394495413","1.8417048675345","5","Highway","0"
"V0324","MAN","9","5","493119.26605505","32119.266055046","2.3506073043873","8","Highway","1"
"V0118","Mercedes Actros","8","10","493619.68306922","32165.137614679","2.0367568801776","9","Urban","0"
"V0227","Volvo","7","9","494120.1000834","32211.009174312","1.1258073397275","2","Mixed","0"
"V0194","Volvo","9","2","494620.51709758","32256.880733945","2.3339578410179","0","Urban","0"
"V0468","Scania","6","1","495120.93411176","32302.752293578","2.450011653865","7","Highway","1"
"V0270","Mercedes Actros","11","4","495621.35112594","32348.623853211","1.8764234124784","6","Mixed","0"
"V0338","Scania","10","1","496121.76814012","32394.495412844","1.3057242280615","1","Mixed","0"
"V0087","Volvo","9","9","496622.1851543","32440.366972477","1.7795998745749","1","Urban","0"
"V0338","Scania","11","9","497122.60216847","32486.23853211","1.409616530735","1","Mixed","1"
"V0489","Mercedes Actros","6","7","497623.01918265","32532.110091743","1.4478918590261","2","Highway","0"
"V0036","Volvo","10","1","498123.43619683","32577.981651376","2.2596380610565","5","Mixed","0"
"V0186","Scania","5","4","498623.85321101","32623.853211009","2.2808410358052","3","Highway","1"
"V0074","Freightliner","8","3","499124.27022519","32669.724770642","2.4528561611368","3","Urban","0"
"V0082","Freightliner","7","6","499624.68723937","32715.596330275","1.4249602960566","9","Highway","0"
"V0064","MAN","9","4","500125.10425354","32761.467889908","2.3295146147825","7","Mixed","1"
"V0225","Freightliner","8","2","500625.52126772","32807.339449541","2.0315851135398","9","Mixed","1"
"V0227","Volvo","7","3","501125.9382819","32853.211009174","1.1043832755166","2","Mixed","1"
